drive_id,company_id,name,role,drive_date,cgpa_band,applicants,shortlisted,selected
DRV001,CMP001,Amazon,SDE Intern,2024-10-15,6.0-6.99,26,10,0
DRV001,CMP001,Amazon,SDE Intern,2024-10-15,7.0-7.49,20,10,0
DRV001,CMP001,Amazon,SDE Intern,2024-10-15,7.5-7.99,38,17,2
DRV001,CMP001,Amazon,SDE Intern,2024-10-15,8.0-8.49,20,6,3
DRV001,CMP001,Amazon,SDE Intern,2024-10-15,8.5-10.0,16,7,3
DRV002,CMP002,Google,SWE Intern,2024-10-25,6.0-6.99,32,13,0
DRV002,CMP002,Google,SWE Intern,2024-10-25,7.0-7.49,23,7,0
DRV002,CMP002,Google,SWE Intern,2024-10-25,7.5-7.99,32,11,0
DRV002,CMP002,Google,SWE Intern,2024-10-25,8.0-8.49,20,6,0
DRV002,CMP002,Google,SWE Intern,2024-10-25,8.5-10.0,22,9,4
DRV003,CMP003,Microsoft,SDE Intern,2024-10-21,6.0-6.99,33,16,0
DRV003,CMP003,Microsoft,SDE Intern,2024-10-21,7.0-7.49,24,12,0
DRV003,CMP003,Microsoft,SDE Intern,2024-10-21,7.5-7.99,19,7,0
DRV003,CMP003,Microsoft,SDE Intern,2024-10-21,8.0-8.49,9,4,2
DRV003,CMP003,Microsoft,SDE Intern,2024-10-21,8.5-10.0,14,7,3
DRV004,CMP004,Honeywell,Software Engineer Intern,2024-09-16,6.0-6.99,30,12,1
DRV004,CMP004,Honeywell,Software Engineer Intern,2024-09-16,7.0-7.49,35,17,3
DRV004,CMP004,Honeywell,Software Engineer Intern,2024-09-16,7.5-7.99,28,13,7
DRV004,CMP004,Honeywell,Software Engineer Intern,2024-09-16,8.0-8.49,22,12,5
DRV004,CMP004,Honeywell,Software Engineer Intern,2024-09-16,8.5-10.0,25,9,5
DRV005,CMP005,TCS,Ninja,2024-08-06,6.0-6.99,60,24,24
DRV005,CMP005,TCS,Ninja,2024-08-06,7.0-7.49,78,32,32
DRV005,CMP005,TCS,Ninja,2024-08-06,7.5-7.99,68,23,23
DRV005,CMP005,TCS,Ninja,2024-08-06,8.0-8.49,62,25,24
DRV005,CMP005,TCS,Ninja,2024-08-06,8.5-10.0,80,43,36
DRV006,CMP006,Infosys,Systems Engineer,2024-08-06,6.0-6.99,82,31,5
DRV006,CMP006,Infosys,Systems Engineer,2024-08-06,7.0-7.49,87,47,35
DRV006,CMP006,Infosys,Systems Engineer,2024-08-06,7.5-7.99,49,23,21
DRV006,CMP006,Infosys,Systems Engineer,2024-08-06,8.0-8.49,68,20,20
DRV006,CMP006,Infosys,Systems Engineer,2024-08-06,8.5-10.0,89,35,35
DRV007,CMP007,Wipro,Project Engineer,2024-08-22,6.0-6.99,42,19,2
DRV007,CMP007,Wipro,Project Engineer,2024-08-22,7.0-7.49,63,31,22
DRV007,CMP007,Wipro,Project Engineer,2024-08-22,7.5-7.99,76,29,23
DRV007,CMP007,Wipro,Project Engineer,2024-08-22,8.0-8.49,60,24,24
DRV007,CMP007,Wipro,Project Engineer,2024-08-22,8.5-10.0,47,16,14
DRV008,CMP008,Accenture,Associate Software Engineer,2024-08-20,6.0-6.99,64,20,4
DRV008,CMP008,Accenture,Associate Software Engineer,2024-08-20,7.0-7.49,89,36,29
DRV008,CMP008,Accenture,Associate Software Engineer,2024-08-20,7.5-7.99,79,42,26
DRV008,CMP008,Accenture,Associate Software Engineer,2024-08-20,8.0-8.49,71,23,23
DRV008,CMP008,Accenture,Associate Software Engineer,2024-08-20,8.5-10.0,44,23,16
DRV009,CMP009,Cognizant,GenC,2024-08-18,6.0-6.99,45,24,3
DRV009,CMP009,Cognizant,GenC,2024-08-18,7.0-7.49,60,28,24
