student_id,skill,status,last_updated
1BM25MC001,DSA,completed,2026-08-20
1BM25MC001,React,completed,2026-08-21
1BM25MC001,Python,in_progress,2026-08-24
1BM25MC001,SQL,completed,2026-08-19
1BM25MC001,System Design,not_started,2026-08-01
1BM25MC002,DSA,in_progress,2026-08-23
1BM25MC003,DSA,in_progress,2026-08-05
1BM25MC003,Aptitude,in_progress,2026-08-22
1BM25MC004,DSA,completed,2026-07-27
1BM25MC004,System Design,not_started,2026-07-26
1BM25MC005,DSA,in_progress,2026-08-24
1BM25MC005,Aptitude,completed,2026-08-20
1BM25MC006,DSA,completed,2026-08-09
1BM25MC006,DBMS,not_started,2026-08-20
1BM25MC007,DSA,completed,2026-08-19
1BM25MC008,DSA,completed,2026-07-28
1BM25MC009,DSA,completed,2026-07-19
1BM25MC009,Aptitude,completed,2026-08-10
1BM25MC010,DSA,completed,2026-07-30
1BM25MC010,Aptitude,in_progress,2026-07-24
1BM25MC010,Java,completed,2026-08-08
1BM25MC011,DSA,completed,2026-08-09
1BM25MC011,System Design,not_started,2026-08-10
1BM25MC012,DSA,completed,2026-08-18
1BM25MC012,Aptitude,completed,2026-07-20
1BM25MC012,Python,in_progress,2026-07-30
1BM25MC012,DBMS,not_started,2026-08-06
1BM25MC013,DSA,not_started,2026-08-09
1BM25MC014,DSA,in_progress,2026-07-15
1BM25MC014,Aptitude,not_started,2026-07-29
1BM25MC015,DSA,completed,2026-08-20
1BM25MC015,Aptitude,in_progress,2026-08-07
1BM25MC015,Python,in_progress,2026-08-21
1BM25MC016,DSA,in_progress,2026-07-16
1BM25MC016,Aptitude,completed,2026-08-02
1BM25MC016,Java,in_progress,2026-07-20
1BM25MC017,DSA,completed,2026-08-06
1BM25MC018,DSA,completed,2026-08-06
1BM25MC018,Aptitude,completed,2026-08-12
1BM25MC018,DBMS,in_progress,2026-08-12
1BM25MC019,DSA,completed,2026-07-22
1BM25MC019,Aptitude,not_started,2026-08-05
1BM25MC019,React,not_started,2026-07-25
1BM25MC020,DSA,completed,2026-08-05
1BM25MC020,Aptitude,completed,2026-08-13
1BM25MC020,Python,in_progress,2026-08-09
1BM25MC020,OS,not_started,2026-07-26
1BM25MC021,DSA,in_progress,2026-08-23
1BM25MC021,Aptitude,completed,2026-08-12
1BM25MC021,Python,completed,2026-08-08
1BM25MC022,DSA,in_progress,2026-07-19
1BM25MC023,DSA,in_progress,2026-07-27
1BM25MC023,Aptitude,completed,2026-07-31
1BM25MC023,Java,completed,2026-08-15
1BM25MC023,Python,not_started,2026-08-24
1BM25MC024,DSA,completed,2026-08-21
1BM25MC024,Aptitude,in_progress,2026-08-06
1BM25MC025,DSA,completed,2026-08-03
1BM25MC025,Aptitude,completed,2026-08-21
1BM25MC026,DSA,in_progress,2026-07-30
1BM25MC027,DSA,completed,2026-08-16
1BM25MC027,Aptitude,in_progress,2026-08-22
1BM25MC027,DBMS,not_started,2026-08-08
1BM25MC028,DSA,completed,2026-07-26
1BM25MC028,Aptitude,completed,2026-08-15
1BM25MC028,System Design,not_started,2026-07-26
1BM25MC029,DSA,completed,2026-08-06
1BM25MC029,Aptitude,completed,2026-08-15
1BM25MC030,DSA,completed,2026-08-16
1BM25MC030,Spark,not_started,2026-08-10
1BM25MC031,DSA,completed,2026-08-12
1BM25MC031,Aptitude,completed,2026-07-20
1BM25MC031,Python,completed,2026-07-29
1BM25MC032,DSA,completed,2026-07-25
1BM25MC032,Aptitude,completed,2026-08-20
1BM25MC032,OS,in_progress,2026-08-15
1BM25MC033,DSA,completed,2026-08-01
1BM25MC033,Aptitude,completed,2026-08-07
1BM25MC033,Python,completed,2026-07-17
1BM25MC034,DSA,completed,2026-07-21
1BM25MC034,Aptitude,completed,2026-07-30
1BM25MC034,Java,in_progress,2026-07-17
1BM25MC034,Python,not_started,2026-08-06
1BM25MC035,DSA,completed,2026-07-30
1BM25MC035,React,not_started,2026-08-21
1BM25MC036,DSA,completed,2026-08-11
1BM25MC036,Aptitude,in_progress,2026-07-23
1BM25MC036,Java,completed,2026-07-28
1BM25MC036,System Design,in_progress,2026-08-20
1BM25MC037,DSA,completed,2026-07-25
1BM25MC037,Aptitude,in_progress,2026-08-02
1BM25MC038,DSA,completed,2026-08-16
1BM25MC038,Aptitude,completed,2026-07-21
1BM25MC039,DSA,completed,2026-07-18
1BM25MC040,DSA,in_progress,2026-07-23
1BM25MC040,Aptitude,in_progress,2026-08-04
1BM25MC041,DSA,completed,2026-08-15
1BM25MC042,DSA,in_progress,2026-08-10
1BM25MC043,DSA,completed,2026-07-20
1BM25MC043,Aptitude,in_progress,2026-08-01
1BM25MC044,DSA,in_progress,2026-08-15
1BM25MC044,Aptitude,in_progress,2026-07-15
1BM25MC044,Python,completed,2026-07-20
1BM25MC045,DSA,completed,2026-08-06
1BM25MC045,Aptitude,completed,2026-08-18
1BM25MC045,Python,in_progress,2026-08-11
1BM25MC046,DSA,in_progress,2026-08-02
1BM25MC047,DSA,in_progress,2026-08-15
1BM25MC047,Aptitude,completed,2026-07-18
1BM25MC048,DSA,not_started,2026-07-25
1BM25MC048,Spark,not_started,2026-07-15
1BM25MC049,DSA,completed,2026-08-03
1BM25MC049,Aptitude,in_progress,2026-08-01
1BM25MC049,OS,not_started,2026-08-07
1BM25MC050,DSA,not_started,2026-08-24
1BM25MC050,Aptitude,in_progress,2026-07-29
1BM25MC050,React,not_started,2026-07-20
1BM25MC051,DSA,completed,2026-07-23
1BM25MC051,Aptitude,completed,2026-08-17
1BM25MC051,Python,completed,2026-07-15
1BM25MC051,DBMS,not_started,2026-08-05
1BM25MC052,DSA,in_progress,2026-07-23
1BM25MC053,DSA,not_started,2026-07-21
1BM25MC053,Aptitude,in_progress,2026-08-07
1BM25MC053,Spark,in_progress,2026-07-23
1BM25MC054,DSA,completed,2026-07-23
1BM25MC054,Aptitude,completed,2026-07-24
1BM25MC055,DSA,not_started,2026-07-25
1BM25MC056,DSA,completed,2026-07-24
1BM25MC056,Aptitude,completed,2026-08-23
1BM25MC056,DBMS,not_started,2026-07-28
1BM25MC057,DSA,in_progress,2026-07-22
1BM25MC058,DSA,in_progress,2026-08-11
1BM25MC058,Aptitude,in_progress,2026-07-23
1BM25MC058,Java,in_progress,2026-07-20
1BM25MC059,DSA,completed,2026-08-22
1BM25MC060,DSA,completed,2026-08-03
1BM25MC060,Aptitude,in_progress,2026-08-22
1BM25MC061,DSA,in_progress,2026-07-18
1BM25MC061,Aptitude,completed,2026-07-30
1BM25MC061,Java,completed,2026-07-22
1BM25MC061,System Design,not_started,2026-08-24
1BM25MC062,DSA,completed,2026-08-04
1BM25MC062,Aptitude,in_progress,2026-08-20
1BM25MC062,Java,in_progress,2026-08-18
1BM25MC062,SQL,not_started,2026-08-14
1BM25MC063,DSA,not_started,2026-07-28
1BM25MC063,SQL,not_started,2026-07-18
1BM25MC064,DSA,completed,2026-08-16
1BM25MC064,Aptitude,completed,2026-08-11
1BM25MC065,DSA,completed,2026-07-24
1BM25MC065,Aptitude,in_progress,2026-08-03
1BM25MC065,Java,not_started,2026-07-28
1BM25MC065,System Design,completed,2026-07-24
1BM25MC066,DSA,completed,2026-07-19
1BM25MC066,Aptitude,in_progress,2026-08-11
1BM25MC066,Python,completed,2026-07-30
1BM25MC066,OS,not_started,2026-07-20
1BM25MC067,DSA,in_progress,2026-07-26
1BM25MC067,Aptitude,in_progress,2026-07-23
1BM25MC067,SQL,in_progress,2026-07-25
1BM25MC068,DSA,completed,2026-07-31
1BM25MC068,Aptitude,in_progress,2026-07-23
1BM25MC069,DSA,in_progress,2026-07-22
1BM25MC069,Aptitude,completed,2026-07-16
1BM25MC069,Java,in_progress,2026-08-11
1BM25MC070,DSA,in_progress,2026-08-20
1BM25MC070,Aptitude,completed,2026-08-15
1BM25MC071,DSA,not_started,2026-08-20
1BM25MC071,Aptitude,in_progress,2026-07-25
1BM25MC072,DSA,completed,2026-07-22
1BM25MC072,Aptitude,in_progress,2026-08-16
1BM25MC073,DSA,in_progress,2026-08-14
1BM25MC073,Java,not_started,2026-07-24
1BM25MC074,DSA,completed,2026-08-19
1BM25MC075,DSA,in_progress,2026-08-04
1BM25MC075,Aptitude,in_progress,2026-08-04
1BM25MC075,Python,in_progress,2026-07-19
1BM25MC076,DSA,in_progress,2026-08-17
1BM25MC076,Aptitude,completed,2026-08-09
1BM25MC076,Python,not_started,2026-08-13
1BM25MC076,Java,in_progress,2026-08-03
1BM25MC077,DSA,not_started,2026-07-27
1BM25MC077,Aptitude,in_progress,2026-08-03
1BM25MC077,Spark,in_progress,2026-07-30
1BM25MC078,DSA,completed,2026-07-27
1BM25MC078,Aptitude,completed,2026-08-18
1BM25MC078,OS,in_progress,2026-07-30
1BM25MC079,DSA,not_started,2026-08-18
1BM25MC079,Spark,not_started,2026-07-15
1BM25MC080,DSA,completed,2026-08-03
1BM25MC080,Aptitude,in_progress,2026-08-17
1BM25MC080,System Design,completed,2026-08-10
1BM25MC081,DSA,completed,2026-07-24
1BM25MC081,Aptitude,completed,2026-07-20
1BM25MC082,DSA,completed,2026-08-17
1BM25MC083,DSA,in_progress,2026-07-20
1BM25MC083,Aptitude,completed,2026-08-16
1BM25MC084,DSA,in_progress,2026-08-21
1BM25MC085,DSA,in_progress,2026-07-31
1BM25MC085,Aptitude,completed,2026-08-09
1BM25MC085,Python,completed,2026-08-04
1BM25MC085,OS,not_started,2026-08-01
1BM25MC086,DSA,in_progress,2026-08-21
1BM25MC086,OS,not_started,2026-07-21
1BM25MC087,DSA,in_progress,2026-08-18
1BM25MC087,OS,not_started,2026-07-28
1BM25MC088,DSA,completed,2026-07-20
1BM25MC088,Aptitude,in_progress,2026-08-03
1BM25MC088,React,in_progress,2026-08-22
1BM25MC089,DSA,in_progress,2026-07-30
1BM25MC089,DBMS,completed,2026-08-09
1BM25MC090,DSA,in_progress,2026-07-26
1BM25MC090,Aptitude,not_started,2026-08-09
1BM25MC090,Java,completed,2026-08-19
1BM25MC090,DBMS,in_progress,2026-07-30
1BM25MC091,DSA,completed,2026-07-23
