student_id,test_type,score,date
1BM25MC001,mock_dsa,74,2026-08-12
1BM25MC001,aptitude,81,2026-08-18
1BM25MC001,mock_interview,70,2026-08-22
1BM25MC002,mock_dsa,81,2026-08-23
1BM25MC002,aptitude,64,2026-09-05
1BM25MC002,mock_interview,66,2026-08-27
1BM25MC003,mock_dsa,79,2026-08-24
1BM25MC003,aptitude,69,2026-07-08
1BM25MC003,mock_interview,55,2026-07-28
1BM25MC004,mock_dsa,57,2026-07-11
1BM25MC004,aptitude,68,2026-07-21
1BM25MC004,mock_interview,66,2026-08-22
1BM25MC005,mock_dsa,50,2026-07-05
1BM25MC005,aptitude,63,2026-08-06
1BM25MC005,mock_interview,56,2026-07-10
1BM25MC006,mock_dsa,58,2026-07-30
1BM25MC006,aptitude,85,2026-07-26
1BM25MC006,mock_interview,60,2026-07-15
1BM25MC007,mock_dsa,61,2026-07-19
1BM25MC007,aptitude,68,2026-07-08
1BM25MC007,mock_interview,77,2026-08-06
1BM25MC008,mock_dsa,62,2026-07-16
1BM25MC008,aptitude,52,2026-08-04
1BM25MC008,mock_interview,59,2026-09-08
1BM25MC009,mock_dsa,50,2026-08-25
1BM25MC009,aptitude,62,2026-08-11
1BM25MC009,mock_interview,50,2026-07-03
1BM25MC010,mock_dsa,66,2026-08-04
1BM25MC010,aptitude,51,2026-08-30
1BM25MC010,mock_interview,59,2026-08-26
1BM25MC011,mock_dsa,83,2026-08-25
1BM25MC011,aptitude,78,2026-09-01
1BM25MC011,mock_interview,83,2026-08-12
1BM25MC012,mock_dsa,74,2026-07-14
1BM25MC012,aptitude,86,2026-09-02
1BM25MC012,mock_interview,70,2026-08-21
1BM25MC013,mock_dsa,74,2026-07-12
1BM25MC013,aptitude,64,2026-08-02
1BM25MC013,mock_interview,61,2026-09-04
1BM25MC014,mock_dsa,85,2026-09-08
1BM25MC014,aptitude,72,2026-08-16
1BM25MC014,mock_interview,71,2026-09-02
1BM25MC015,mock_dsa,48,2026-08-04
1BM25MC015,aptitude,56,2026-07-17
1BM25MC015,mock_interview,69,2026-09-01
1BM25MC016,mock_dsa,65,2026-07-04
1BM25MC016,aptitude,82,2026-07-21
1BM25MC016,mock_interview,69,2026-09-09
1BM25MC017,mock_dsa,66,2026-07-15
1BM25MC017,aptitude,63,2026-07-16
1BM25MC017,mock_interview,59,2026-08-07
1BM25MC018,mock_dsa,82,2026-08-04
1BM25MC018,aptitude,77,2026-08-01
1BM25MC018,mock_interview,87,2026-09-09
1BM25MC019,mock_dsa,76,2026-09-04
1BM25MC019,aptitude,79,2026-07-18
1BM25MC019,mock_interview,73,2026-08-13
1BM25MC020,mock_dsa,51,2026-08-04
1BM25MC020,aptitude,58,2026-09-01
1BM25MC020,mock_interview,42,2026-08-27
1BM25MC021,mock_dsa,84,2026-09-08
1BM25MC021,aptitude,89,2026-08-28
1BM25MC021,mock_interview,98,2026-07-31
1BM25MC022,mock_dsa,55,2026-08-19
1BM25MC022,aptitude,59,2026-08-10
1BM25MC022,mock_interview,73,2026-08-30
1BM25MC023,mock_dsa,66,2026-07-20
1BM25MC023,aptitude,59,2026-07-05
1BM25MC023,mock_interview,85,2026-07-13
1BM25MC024,mock_dsa,83,2026-07-13
1BM25MC024,aptitude,66,2026-07-19
1BM25MC024,mock_interview,67,2026-07-20
1BM25MC025,mock_dsa,84,2026-08-13
1BM25MC025,aptitude,84,2026-08-20
1BM25MC025,mock_interview,64,2026-09-07
1BM25MC026,mock_dsa,62,2026-08-10
1BM25MC026,aptitude,65,2026-09-08
1BM25MC026,mock_interview,58,2026-07-09
1BM25MC027,mock_dsa,72,2026-07-30
1BM25MC027,aptitude,89,2026-07-12
1BM25MC027,mock_interview,70,2026-07-13
1BM25MC028,mock_dsa,62,2026-07-22
1BM25MC028,aptitude,54,2026-08-11
1BM25MC028,mock_interview,40,2026-08-07
1BM25MC029,mock_dsa,65,2026-09-06
1BM25MC029,aptitude,82,2026-07-24
1BM25MC029,mock_interview,74,2026-07-31
1BM25MC030,mock_dsa,75,2026-07-19
1BM25MC030,aptitude,76,2026-08-02
1BM25MC030,mock_interview,85,2026-07-02
1BM25MC031,mock_dsa,80,2026-09-08
1BM25MC031,aptitude,67,2026-07-10
1BM25MC031,mock_interview,68,2026-08-08
1BM25MC032,mock_dsa,80,2026-08-24
1BM25MC032,aptitude,73,2026-07-26
1BM25MC032,mock_interview,65,2026-08-31
1BM25MC033,mock_dsa,83,2026-08-07
1BM25MC033,aptitude,88,2026-08-07
1BM25MC033,mock_interview,92,2026-08-05
1BM25MC034,mock_dsa,67,2026-07-07
1BM25MC034,aptitude,81,2026-07-30
1BM25MC034,mock_interview,62,2026-08-15
1BM25MC035,mock_dsa,54,2026-07-18
1BM25MC035,aptitude,64,2026-07-13
1BM25MC035,mock_interview,63,2026-08-26
1BM25MC036,mock_dsa,43,2026-08-16
1BM25MC036,aptitude,54,2026-08-11
1BM25MC036,mock_interview,50,2026-08-23
1BM25MC037,mock_dsa,74,2026-08-16
1BM25MC037,aptitude,78,2026-09-03
1BM25MC037,mock_interview,81,2026-08-31
1BM25MC038,mock_dsa,64,2026-08-13
1BM25MC038,aptitude,75,2026-07-19
1BM25MC038,mock_interview,60,2026-08-20
1BM25MC039,mock_dsa,96,2026-07-12
1BM25MC039,aptitude,82,2026-07-02
1BM25MC039,mock_interview,81,2026-08-03
1BM25MC040,mock_dsa,73,2026-08-18
1BM25MC040,aptitude,73,2026-07-30
1BM25MC040,mock_interview,48,2026-07-04
1BM25MC041,mock_dsa,53,2026-07-29
1BM25MC041,aptitude,60,2026-07-09
1BM25MC041,mock_interview,63,2026-08-08
1BM25MC042,mock_dsa,62,2026-08-22
1BM25MC042,aptitude,67,2026-08-08
1BM25MC042,mock_interview,67,2026-07-15
1BM25MC043,mock_dsa,69,2026-08-19
1BM25MC043,aptitude,70,2026-08-17
1BM25MC043,mock_interview,53,2026-08-23
1BM25MC044,mock_dsa,54,2026-07-20
1BM25MC044,aptitude,73,2026-08-22
1BM25MC044,mock_interview,53,2026-07-05
1BM25MC045,mock_dsa,77,2026-07-31
1BM25MC045,aptitude,77,2026-07-13
1BM25MC045,mock_interview,89,2026-08-15
1BM25MC046,mock_dsa,64,2026-08-20
1BM25MC046,aptitude,67,2026-07-12
1BM25MC046,mock_interview,90,2026-07-28
1BM25MC047,mock_dsa,60,2026-07-07
1BM25MC047,aptitude,63,2026-08-01
1BM25MC047,mock_interview,79,2026-07-09
1BM25MC048,mock_dsa,71,2026-07-27
1BM25MC048,aptitude,56,2026-08-12
1BM25MC048,mock_interview,57,2026-07-01
1BM25MC049,mock_dsa,67,2026-09-08
1BM25MC049,aptitude,98,2026-07-23
1BM25MC049,mock_interview,81,2026-07-02
1BM25MC050,mock_dsa,69,2026-07-31
1BM25MC050,aptitude,60,2026-07-07
1BM25MC050,mock_interview,54,2026-08-23
1BM25MC051,mock_dsa,73,2026-08-27
1BM25MC051,aptitude,87,2026-09-04
1BM25MC051,mock_interview,75,2026-07-06
1BM25MC052,mock_dsa,63,2026-09-05
1BM25MC052,aptitude,60,2026-07-08
1BM25MC052,mock_interview,75,2026-08-21
1BM25MC053,mock_dsa,62,2026-08-26
1BM25MC053,aptitude,63,2026-07-11
1BM25MC053,mock_interview,55,2026-08-05
1BM25MC054,mock_dsa,83,2026-09-09
1BM25MC054,aptitude,79,2026-09-06
1BM25MC054,mock_interview,67,2026-08-28
1BM25MC055,mock_dsa,62,2026-07-15
1BM25MC055,aptitude,73,2026-09-09
1BM25MC055,mock_interview,66,2026-07-30
1BM25MC056,mock_dsa,50,2026-08-13
1BM25MC056,aptitude,65,2026-07-13
1BM25MC056,mock_interview,48,2026-08-24
1BM25MC057,mock_dsa,61,2026-08-30
1BM25MC057,aptitude,71,2026-07-12
1BM25MC057,mock_interview,63,2026-08-17
1BM25MC058,mock_dsa,68,2026-07-08
1BM25MC058,aptitude,67,2026-07-16
1BM25MC058,mock_interview,68,2026-08-15
1BM25MC059,mock_dsa,94,2026-07-07
1BM25MC059,aptitude,70,2026-08-09
1BM25MC059,mock_interview,70,2026-07-20
1BM25MC060,mock_dsa,75,2026-08-31
1BM25MC060,aptitude,69,2026-08-17
1BM25MC060,mock_interview,62,2026-08-05
1BM25MC061,mock_dsa,55,2026-07-04
1BM25MC061,aptitude,63,2026-08-04
1BM25MC061,mock_interview,70,2026-08-13
1BM25MC062,mock_dsa,71,2026-07-01
1BM25MC062,aptitude,77,2026-08-21
1BM25MC062,mock_interview,69,2026-07-19
1BM25MC063,mock_dsa,71,2026-09-06
1BM25MC063,aptitude,53,2026-08-18
1BM25MC063,mock_interview,68,2026-08-09
1BM25MC064,mock_dsa,76,2026-08-11
1BM25MC064,aptitude,71,2026-07-07
1BM25MC064,mock_interview,55,2026-07-21
1BM25MC065,mock_dsa,79,2026-08-04
1BM25MC065,aptitude,81,2026-08-24
1BM25MC065,mock_interview,72,2026-07-28
1BM25MC066,mock_dsa,63,2026-07-15
1BM25MC066,aptitude,62,2026-09-01
1BM25MC066,mock_interview,63,2026-08-09
1BM25MC067,mock_dsa,82,2026-07-08
1BM25MC067,aptitude,73,2026-07-27
1BM25MC067,mock_interview,65,2026-08-02
1BM25MC068,mock_dsa,71,2026-08-11
1BM25MC068,aptitude,76,2026-07-23
1BM25MC068,mock_interview,68,2026-08-18
1BM25MC069,mock_dsa,81,2026-08-15
1BM25MC069,aptitude,82,2026-08-20
1BM25MC069,mock_interview,81,2026-08-28
1BM25MC070,mock_dsa,66,2026-08-10
1BM25MC070,aptitude,67,2026-08-23
1BM25MC070,mock_interview,65,2026-07-15
1BM25MC071,mock_dsa,62,2026-08-28
1BM25MC071,aptitude,98,2026-08-16
1BM25MC071,mock_interview,91,2026-08-25
1BM25MC072,mock_dsa,98,2026-08-21
1BM25MC072,aptitude,81,2026-08-13
1BM25MC072,mock_interview,81,2026-08-12
1BM25MC073,mock_dsa,75,2026-07-15
1BM25MC073,aptitude,73,2026-09-04
1BM25MC073,mock_interview,75,2026-07-19
1BM25MC074,mock_dsa,87,2026-07-14
1BM25MC074,aptitude,85,2026-07-20
1BM25MC074,mock_interview,82,2026-07-10
1BM25MC075,mock_dsa,76,2026-08-29
1BM25MC075,aptitude,88,2026-08-27
1BM25MC075,mock_interview,65,2026-08-11
1BM25MC076,mock_dsa,57,2026-08-10
1BM25MC076,aptitude,73,2026-08-08
1BM25MC076,mock_interview,70,2026-07-08
1BM25MC077,mock_dsa,74,2026-08-27
1BM25MC077,aptitude,79,2026-07-08
1BM25MC077,mock_interview,74,2026-07-12
1BM25MC078,mock_dsa,55,2026-09-03
1BM25MC078,aptitude,44,2026-07-06
1BM25MC078,mock_interview,53,2026-07-25
1BM25MC079,mock_dsa,53,2026-07-08
1BM25MC079,aptitude,70,2026-07-14
1BM25MC079,mock_interview,67,2026-07-11
1BM25MC080,mock_dsa,74,2026-07-23
1BM25MC080,aptitude,98,2026-09-06
1BM25MC080,mock_interview,89,2026-07-21
1BM25MC081,mock_dsa,70,2026-08-22
1BM25MC081,aptitude,98,2026-07-07
1BM25MC081,mock_interview,81,2026-08-12
1BM25MC082,mock_dsa,63,2026-08-19
1BM25MC082,aptitude,79,2026-07-20
1BM25MC082,mock_interview,88,2026-07-11
1BM25MC083,mock_dsa,66,2026-08-09
1BM25MC083,aptitude,73,2026-08-20
1BM25MC083,mock_interview,74,2026-08-09
1BM25MC084,mock_dsa,93,2026-08-18
1BM25MC084,aptitude,75,2026-09-06
1BM25MC084,mock_interview,70,2026-08-24
1BM25MC085,mock_dsa,72,2026-07-24
1BM25MC085,aptitude,74,2026-08-13
1BM25MC085,mock_interview,78,2026-07-18
1BM25MC086,mock_dsa,61,2026-07-10
1BM25MC086,aptitude,68,2026-09-08
1BM25MC086,mock_interview,82,2026-09-06
1BM25MC087,mock_dsa,95,2026-07-17
1BM25MC087,aptitude,92,2026-08-18
1BM25MC087,mock_interview,89,2026-07-22
1BM25MC088,mock_dsa,73,2026-08-26
1BM25MC088,aptitude,78,2026-07-31
1BM25MC088,mock_interview,67,2026-08-06
1BM25MC089,mock_dsa,60,2026-09-07
1BM25MC089,aptitude,48,2026-08-09
1BM25MC089,mock_interview,71,2026-08-17
1BM25MC090,mock_dsa,64,2026-08-26
1BM25MC090,aptitude,59,2026-09-03
1BM25MC090,mock_interview,66,2026-08-23
1BM25MC091,mock_dsa,86,2026-07-18
1BM25MC091,aptitude,68,2026-07-07
1BM25MC091,mock_interview,60,2026-07-14
1BM25MC092,mock_dsa,54,2026-09-05
1BM25MC092,aptitude,67,2026-08-04
1BM25MC092,mock_interview,58,2026-09-04
1BM25MC093,mock_dsa,75,2026-08-27
1BM25MC093,aptitude,82,2026-07-04
1BM25MC093,mock_interview,65,2026-07-31
1BM25MC094,mock_dsa,77,2026-07-11
1BM25MC094,aptitude,71,2026-08-12
1BM25MC094,mock_interview,70,2026-07-18
1BM25MC095,mock_dsa,90,2026-07-18
1BM25MC095,aptitude,82,2026-08-30
1BM25MC095,mock_interview,67,2026-07-03
1BM25MC096,mock_dsa,64,2026-07-28
1BM25MC096,aptitude,75,2026-09-06
1BM25MC096,mock_interview,55,2026-07-15
1BM25MC097,mock_dsa,73,2026-07-07
1BM25MC097,aptitude,68,2026-08-23
1BM25MC097,mock_interview,63,2026-07-15
1BM25MC098,mock_dsa,51,2026-09-07
1BM25MC098,aptitude,69,2026-07-19
1BM25MC098,mock_interview,60,2026-08-24
1BM25MC099,mock_dsa,82,2026-08-23
1BM25MC099,aptitude,70,2026-07-11
1BM25MC099,mock_interview,65,2026-09-08
1BM25MC100,mock_dsa,76,2026-09-03
1BM25MC100,aptitude,69,2026-07-06
1BM25MC100,mock_interview,72,2026-08-19
