student_id,branch,semester,cgpa,skills,backlog_count
1BM25MC001,MCA,3,8.2,"DSA,React,Python,SQL",0
1BM25MC002,ECE,1,8.52,"DSA,Aptitude,Java,OS,Spark,SQL,Python",0
1BM25MC003,CSE,2,8.04,"DSA,Aptitude,Python,SQL,Spark,Java,React",0
1BM25MC004,EEE,3,7.72,"DSA,Aptitude,Java,OS,Python",1
1BM25MC005,ECE,3,7.23,"DSA,Aptitude,Java,OS,Python",1
1BM25MC006,MCA,3,7.79,"DSA,Aptitude,Python,SQL,Spark,OS",0
1BM25MC007,MCA,1,8.22,"DSA,Aptitude,Python,SQL,Java,Spark",1
1BM25MC008,ISE,2,6.91,"DSA,Aptitude,Python,SQL,Java,System Design,React",1
1BM25MC009,MCA,1,6.87,"DSA,Aptitude,Python,SQL,OS,DBMS",1
1BM25MC010,ECE,3,7.49,"DSA,Aptitude,Java,OS,SQL,Python,DBMS",1
1BM25MC011,CSE,3,8.47,"DSA,Aptitude,Python,SQL,Spark,React,Java",1
1BM25MC012,CSE,2,8.56,"DSA,Aptitude,Python,SQL,OS,React,System Design",0
1BM25MC013,MCA,2,8.08,"DSA,Aptitude,Python,SQL,React,System Design",1
1BM25MC014,AIML,3,7.94,"DSA,Aptitude,Python,SQL,React",1
1BM25MC015,AIML,1,7.19,"DSA,Aptitude,Python,SQL,React",0
1BM25MC016,ECE,4,8.15,"DSA,Aptitude,Java,OS,Spark,DBMS",0
1BM25MC017,AIML,1,7.22,"DSA,Aptitude,Python,SQL,Spark,OS,System Design",0
1BM25MC018,CSE,2,9.1,"DSA,Aptitude,Python,SQL,Java,OS,React",0
1BM25MC019,CSE,1,7.97,"DSA,Aptitude,Python,SQL,OS,DBMS,Java",0
1BM25MC020,CSE,2,6.59,"DSA,Aptitude,Python,SQL,React",1
1BM25MC021,MCA,1,9.54,"DSA,Aptitude,Python,SQL,DBMS,Java,React",0
1BM25MC022,CSE,4,7.05,"DSA,Aptitude,Python,SQL,Spark",1
1BM25MC023,EEE,3,8.09,"DSA,Aptitude,Java,OS,React,System Design",0
1BM25MC024,AIML,2,7.95,"DSA,Aptitude,Python,SQL,React,Java,Spark",0
1BM25MC025,EEE,2,8.21,"DSA,Aptitude,Java,OS,SQL",0
